file_name,start_point,end_point,x_offset,effectiveness
DLC-2104,"[226, 645]","[366, 645]",55,invalid
DLC-2096,"[283, 653]","[391, 650]",55,invalid
DLC-2088,"[261, 644]","[374, 647]",55,invalid
DLC-2080,"[254, 648]","[442, 645]",55,invalid
DLC-2072,"[315, 645]","[387, 645]",55,invalid
DLC-2064,"[305, 643]","[415, 643]",55,invalid
DLC-2056,"[301, 641]","[390, 633]",55,invalid
DLC-2048,"[266, 634]","[391, 643]",55,invalid
DLC-2040,"[258, 641]","[394, 637]",55,invalid
DLC-2032,"[302, 640]","[404, 639]",55,invalid
DLC-2024,"[315, 644]","[406, 642]",55,invalid
DLC-2016,"[304, 647]","[385, 645]",55,invalid
DLC-2008,"[292, 635]","[371, 633]",55,invalid
DLC-2000,"[245, 634]","[344, 627]",55,invalid
DLC-1992,"[254, 632]","[366, 635]",55,invalid
DLC-1984,"[296, 631]","[390, 633]",55,invalid
DLC-1976,"[248, 625]","[360, 628]",55,invalid
DLC-1968,"[296, 623]","[406, 623]",55,invalid
DLC-1960,"[280, 624]","[393, 625]",55,invalid
DLC-1952,"[289, 631]","[382, 631]",55,invalid
DLC-1944,"[267, 627]","[360, 624]",55,invalid
DLC-1936,"[290, 621]","[378, 616]",55,invalid
DLC-1928,"[305, 615]","[384, 615]",55,invalid
DLC-1920,"[360, 621]","[433, 621]",55,invalid
DLC-1912,"[306, 621]","[366, 621]",55,invalid
DLC-1904,"[302, 622]","[376, 618]",55,invalid
DLC-1896,"[309, 616]","[397, 618]",55,invalid
DLC-1888,"[285, 618]","[371, 621]",55,invalid
DLC-1880,"[264, 616]","[359, 616]",55,invalid
DLC-1872,"[276, 619]","[374, 625]",55,invalid
DLC-1864,"[282, 625]","[376, 623]",55,invalid
DLC-1856,"[281, 624]","[368, 624]",55,invalid
DLC-1848,"[285, 622]","[376, 624]",55,invalid
DLC-1840,"[254, 625]","[352, 627]",55,invalid
DLC-1832,"[275, 625]","[399, 626]",55,invalid
DLC-1824,"[297, 627]","[393, 627]",55,invalid
DLC-1816,"[334, 626]","[403, 627]",55,invalid
DLC-1808,"[292, 624]","[372, 631]",55,invalid
DLC-1800,"[303, 628]","[387, 628]",55,invalid
DLC-1792,"[297, 624]","[413, 633]",55,invalid
DLC-1784,"[316, 627]","[411, 627]",55,invalid
DLC-1776,"[318, 632]","[410, 632]",55,invalid
DLC-1768,"[333, 626]","[412, 626]",55,invalid
DLC-1760,"[336, 628]","[419, 629]",55,invalid
DLC-1752,"[331, 632]","[401, 634]",55,invalid
DLC-1744,"[360, 635]","[434, 635]",55,invalid
DLC-1736,"[324, 626]","[421, 627]",55,invalid
DLC-1728,"[323, 619]","[418, 616]",55,invalid
DLC-1720,"[165, 600]","[201, 600]",55,valid
DLC-1712,"[167, 599]","[220, 600]",56,valid
DLC-1704,"[204, 599]","[223, 600]",56,valid
DLC-1696,"[172, 601]","[260, 600]",54,valid
DLC-1688,"[191, 600]","[226, 600]",55,valid
DLC-1680,"[194, 601]","[246, 603]",55,valid
DLC-1672,"[214, 610]","[249, 611]",56,valid
DLC-1664,"[219, 616]","[270, 618]",55,valid
DLC-1656,"[239, 613]","[274, 614]",55,valid
DLC-1648,"[242, 613]","[294, 614]",56,valid
DLC-1640,"[263, 619]","[298, 620]",55,valid
DLC-1632,"[267, 611]","[318, 615]",56,valid
DLC-1624,"[287, 612]","[323, 613]",55,valid
DLC-1616,"[289, 611]","[342, 612]",55,valid
DLC-1608,"[309, 611]","[344, 612]",56,valid
DLC-1600,"[313, 611]","[365, 612]",54,valid
DLC-1592,"[281, 610]","[367, 611]",54,valid
DLC-1584,"[250, 608]","[335, 609]",55,valid
DLC-1576,"[219, 608]","[305, 608]",55,valid
DLC-1568,"[239, 607]","[274, 608]",55,valid
DLC-1560,"[242, 604]","[294, 608]",55,valid
DLC-1552,"[262, 605]","[297, 606]",56,valid
DLC-1544,"[265, 607]","[318, 609]",55,valid
DLC-1536,"[286, 605]","[320, 606]",55,valid
DLC-1528,"[289, 605]","[341, 608]",55,valid
DLC-1520,"[257, 605]","[344, 606]",56,valid
DLC-1512,"[226, 602]","[313, 605]",55,valid
DLC-1504,"[246, 602]","[281, 603]",55,valid
DLC-1496,"[250, 600]","[301, 604]",56,valid
DLC-1488,"[271, 601]","[306, 603]",55,valid
DLC-1480,"[275, 601]","[326, 603]",54,valid
DLC-1472,"[295, 602]","[329, 603]",55,valid
DLC-1464,"[299, 600]","[350, 603]",55,valid
DLC-1456,"[269, 602]","[354, 602]",54,valid
DLC-1448,"[236, 599]","[323, 601]",55,valid
DLC-1440,"[256, 599]","[291, 601]",55,valid
DLC-1432,"[258, 599]","[311, 599]",56,valid
DLC-1424,"[279, 598]","[314, 599]",54,valid
DLC-1416,"[282, 599]","[333, 600]",55,valid
DLC-1408,"[250, 598]","[337, 600]",54,valid
DLC-1400,"[269, 600]","[304, 600]",55,valid
DLC-1392,"[272, 601]","[324, 603]",55,valid
DLC-1384,"[292, 601]","[327, 601]",55,valid
DLC-1376,"[294, 602]","[347, 604]",55,valid
DLC-1368,"[263, 612]","[349, 613]",55,valid
DLC-1360,"[283, 612]","[318, 617]",55,valid
DLC-1352,"[285, 613]","[338, 614]",56,valid
DLC-1344,"[254, 601]","[341, 602]",54,valid
DLC-1336,"[274, 603]","[308, 605]",54,valid
DLC-1328,"[276, 607]","[328, 606]",55,valid
DLC-1320,"[244, 599]","[331, 599]",56,valid
DLC-1312,"[265, 596]","[300, 598]",55,valid
DLC-1304,"[268, 596]","[320, 598]",56,valid
DLC-1296,"[235, 595]","[324, 597]",56,valid
DLC-1288,"[256, 595]","[291, 597]",55,valid
DLC-1280,"[259, 594]","[311, 595]",55,valid
DLC-1272,"[280, 595]","[314, 596]",55,valid
DLC-1264,"[284, 593]","[335, 596]",54,valid
DLC-1256,"[304, 595]","[338, 597]",54,valid
DLC-1248,"[306, 594]","[358, 596]",55,valid
DLC-1240,"[274, 593]","[361, 596]",56,valid
DLC-1232,"[242, 594]","[330, 598]",55,valid
DLC-1224,"[262, 593]","[297, 594]",55,valid
DLC-1216,"[266, 594]","[317, 595]",54,valid
DLC-1208,"[286, 596]","[320, 596]",55,valid
DLC-1200,"[288, 595]","[341, 598]",56,valid
DLC-1192,"[258, 597]","[344, 598]",54,valid
DLC-1184,"[278, 593]","[312, 594]",55,valid
DLC-1176,"[281, 593]","[333, 594]",54,valid
DLC-1168,"[249, 594]","[335, 597]",56,valid
DLC-1160,"[270, 593]","[305, 595]",55,valid
DLC-1152,"[273, 594]","[325, 595]",56,valid
DLC-1144,"[242, 593]","[329, 595]",55,valid
DLC-1136,"[262, 594]","[297, 596]",54,valid
DLC-1128,"[265, 594]","[316, 595]",55,valid
DLC-1120,"[285, 593]","[320, 593]",55,valid
DLC-1112,"[288, 594]","[340, 595]",55,valid
DLC-1104,"[309, 594]","[343, 595]",55,valid
DLC-1096,"[313, 592]","[364, 592]",55,valid
DLC-1088,"[281, 592]","[368, 592]",56,valid
DLC-1080,"[251, 590]","[337, 591]",56,valid
DLC-1072,"[271, 589]","[307, 590]",54,valid
DLC-1064,"[273, 592]","[325, 594]",56,valid
DLC-1056,"[294, 591]","[329, 592]",55,valid
DLC-1048,"[298, 591]","[349, 592]",55,valid
DLC-1040,"[265, 594]","[353, 595]",55,valid
DLC-1032,"[233, 593]","[320, 596]",55,valid
DLC-1024,"[253, 595]","[288, 596]",56,valid
DLC-1016,"[256, 593]","[309, 595]",56,valid
DLC-1008,"[276, 592]","[312, 593]",55,valid
DLC-1000,"[280, 594]","[331, 597]",55,valid
DLC-992,"[249, 595]","[335, 596]",54,valid
DLC-984,"[268, 594]","[303, 595]",55,valid
DLC-976,"[271, 593]","[323, 595]",55,valid
DLC-968,"[238, 591]","[326, 593]",56,valid
DLC-960,"[258, 594]","[294, 595]",56,valid
DLC-952,"[261, 593]","[314, 594]",54,valid
DLC-944,"[228, 589]","[315, 595]",55,valid
DLC-936,"[248, 593]","[283, 597]",56,valid
DLC-928,"[251, 592]","[304, 592]",56,valid
DLC-920,"[272, 589]","[307, 595]",55,valid
DLC-912,"[275, 589]","[327, 589]",55,valid
DLC-904,"[295, 589]","[330, 590]",55,valid
DLC-896,"[298, 589]","[350, 591]",55,valid
DLC-888,"[267, 589]","[353, 592]",55,valid
DLC-880,"[287, 589]","[322, 590]",55,valid
DLC-872,"[291, 587]","[342, 590]",54,valid
DLC-864,"[259, 587]","[345, 591]",54,valid
DLC-856,"[279, 589]","[313, 591]",55,valid
DLC-848,"[282, 588]","[334, 590]",55,valid
DLC-840,"[250, 587]","[337, 589]",54,valid
DLC-832,"[269, 590]","[304, 592]",56,valid
DLC-824,"[273, 591]","[325, 593]",56,valid
DLC-816,"[242, 590]","[329, 592]",55,valid
DLC-808,"[261, 589]","[297, 590]",56,valid
DLC-800,"[264, 591]","[317, 591]",56,valid
DLC-792,"[234, 589]","[320, 592]",56,valid
DLC-784,"[254, 588]","[290, 589]",55,valid
DLC-776,"[258, 588]","[309, 589]",55,valid
DLC-768,"[279, 587]","[313, 589]",54,valid
DLC-760,"[281, 589]","[333, 588]",56,valid
DLC-752,"[301, 590]","[337, 592]",55,valid
DLC-744,"[304, 588]","[356, 591]",56,valid
DLC-736,"[274, 587]","[360, 590]",55,valid
DLC-728,"[244, 587]","[329, 590]",53,valid
DLC-720,"[262, 588]","[297, 589]",56,valid
DLC-712,"[266, 589]","[318, 591]",54,valid
DLC-704,"[285, 587]","[320, 590]",56,valid
DLC-696,"[289, 589]","[341, 590]",55,valid
DLC-688,"[256, 589]","[344, 590]",56,valid
DLC-680,"[225, 588]","[312, 589]",55,valid
DLC-672,"[246, 584]","[280, 587]",54,valid
DLC-664,"[248, 583]","[300, 586]",54,valid
DLC-656,"[269, 584]","[302, 587]",55,valid
DLC-648,"[272, 584]","[324, 587]",55,valid
DLC-640,"[241, 585]","[327, 587]",55,valid
DLC-632,"[260, 586]","[296, 589]",55,valid
DLC-624,"[263, 586]","[315, 588]",55,valid
DLC-616,"[231, 586]","[318, 589]",54,valid
DLC-608,"[250, 586]","[285, 587]",56,valid
DLC-600,"[254, 587]","[306, 588]",56,valid
DLC-592,"[223, 586]","[310, 587]",56,valid
DLC-584,"[243, 589]","[279, 588]",56,valid
DLC-576,"[247, 587]","[299, 587]",56,valid
DLC-568,"[267, 585]","[303, 586]",56,valid
DLC-560,"[269, 585]","[323, 588]",56,valid
DLC-552,"[290, 585]","[325, 585]",55,valid
DLC-544,"[293, 584]","[345, 587]",54,valid
DLC-536,"[261, 583]","[347, 584]",55,valid
DLC-528,"[281, 584]","[316, 585]",57,valid
DLC-520,"[285, 586]","[338, 587]",55,valid
DLC-512,"[254, 584]","[340, 586]",55,valid
DLC-504,"[274, 585]","[309, 589]",56,valid
DLC-496,"[277, 585]","[330, 586]",55,valid
DLC-488,"[296, 585]","[332, 588]",56,valid
DLC-480,"[300, 587]","[352, 588]",55,valid
DLC-472,"[268, 585]","[355, 586]",55,valid
DLC-464,"[236, 584]","[323, 586]",56,valid
DLC-456,"[257, 586]","[292, 586]",55,valid
DLC-448,"[259, 585]","[312, 587]",56,valid
DLC-440,"[280, 585]","[315, 587]",55,valid
DLC-432,"[283, 584]","[335, 585]",55,valid
