file_name,start_point,end_point,x_offset,effectiveness
DRC2128,"[412, 624]","[306, 620]",55,invalid
DRC2120,"[428, 628]","[304, 621]",55,invalid
DRC2112,"[397, 630]","[287, 620]",55,invalid
DRC2104,"[428, 625]","[330, 616]",55,invalid
DRC2096,"[421, 617]","[313, 617]",55,invalid
DRC2088,"[403, 621]","[324, 621]",55,invalid
DRC2080,"[414, 626]","[346, 626]",55,invalid
DRC2072,"[440, 625]","[367, 625]",55,invalid
DRC2064,"[434, 631]","[377, 631]",55,invalid
DRC2056,"[320, 630]","[288, 630]",55,invalid
DRC2048,"[372, 630]","[305, 627]",55,invalid
DRC2040,"[378, 629]","[328, 629]",55,invalid
DRC2032,"[382, 634]","[294, 631]",55,invalid
DRC2024,"[373, 625]","[320, 622]",55,invalid
DRC2016,"[388, 627]","[311, 627]",55,invalid
DRC2008,"[374, 628]","[320, 628]",55,invalid
DRC2000,"[360, 640]","[290, 639]",55,invalid
DRC1992,"[381, 634]","[311, 630]",55,invalid
DRC1984,"[375, 626]","[309, 627]",55,invalid
DRC1976,"[406, 629]","[320, 633]",55,invalid
DRC1968,"[393, 650]","[312, 647]",55,invalid
DRC1960,"[401, 647]","[342, 645]",55,invalid
DRC1952,"[406, 644]","[353, 643]",55,invalid
DRC1944,"[374, 653]","[281, 652]",55,invalid
DRC1936,"[360, 653]","[292, 653]",55,invalid
DRC1928,"[365, 654]","[282, 652]",55,invalid
DRC1920,"[365, 653]","[286, 653]",55,invalid
DRC1912,"[372, 653]","[294, 654]",55,invalid
DRC1904,"[355, 657]","[285, 658]",55,invalid
DRC1896,"[351, 654]","[273, 653]",55,invalid
DRC1888,"[347, 652]","[261, 654]",55,invalid
DRC1880,"[327, 651]","[257, 654]",55,invalid
DRC1872,"[335, 649]","[276, 649]",55,invalid
DRC1864,"[327, 651]","[267, 651]",55,invalid
DRC1856,"[332, 654]","[287, 655]",55,invalid
DRC1848,"[352, 655]","[294, 657]",55,invalid
DRC1840,"[336, 656]","[273, 657]",55,invalid
DRC1832,"[372, 651]","[323, 651]",55,invalid
DRC1824,"[362, 654]","[305, 655]",55,invalid
DRC1816,"[374, 655]","[286, 658]",55,invalid
